Rooms,Easting,Northing,WallType
1.004,109.5333764,329.0413528,Adobe
1.005,106.9564725,332.4335105,Adobe
1.007,106.8548019,336.8212401,Adobe
1.008,109.3209935,336.8318871,Adobe
1.009,106.7818898,339.5526141,Adobe
1.01,109.6236033,340.1072953,Adobe
1.011,106.7819546,342.4347938,Adobe
1.012,106.7126195,345.2298001,Adobe
1.014,106.6930837,353.4533574,Masonry
1.015,106.4939837,355.9960465,Masonry
1.016,106.7795968,358.7140609,Masonry
1.017,109.8419291,356.1974967,Masonry
1.018,109.9685305,353.6798887,Masonry
1.019,113.3438549,355.204084,Masonry
1.02,116.1289641,356.2687436,Masonry
1.021,118.5682545,359.4670436,Masonry
1.022,118.9322729,356.3936724,Masonry
1.023,121.5529184,356.5203722,Masonry
1.024,123.6394296,359.8816456,Masonry
1.025,123.844006,356.6717796,Masonry
1.027,126.4239766,356.7964282,Masonry
1.028,126.5028113,353.5117628,Masonry
1.029,128.8927519,356.8986332,Masonry
1.03,129.062306,353.7111908,Masonry
1.031,131.3468507,357.1350381,Masonry
1.033,133.7969467,360.4942913,Masonry
1.034,134.119699,354.1382721,Masonry
1.035,136.4393596,360.6841698,Masonry
1.036,136.6100081,357.5698924,Masonry
1.037,139.0625536,360.8224234,Masonry
1.038,139.1777874,357.6627342,Masonry
1.039,141.855726,357.699963,Masonry
1.04,144.6707196,354.8201375,Masonry
1.041,147.538414,357.8184481,Masonry
1.043,174.4421348,358.6522028,Masonry
1.047,182.4152037,359.4905046,Masonry
1.049,185.22574,359.6725765,Masonry
1.055,205.6115526,360.9961542,Masonry
1.056,208.4801247,360.6347788,Masonry
1.057,211.4654022,361.0248272,Masonry
1.059,214.2093464,361.6820623,Masonry
1.06,216.7901297,361.7994132,Masonry
1.061,219.5126633,361.8175925,Masonry
1.062,222.5169599,362.0745408,Masonry
1.063,225.1634004,364.9516265,Masonry
1.064,225.4562159,362.3756617,Masonry
10.001,56.24509578,222.5824381,Masonry
10.004,56.14498926,238.9476773,Masonry
2.001,88.01421421,316.7432295,Masonry
2.003,90.85987221,317.4641095,Masonry
2.004,91.36956627,315.2795755,Masonry
2.005,94.29186462,318.3661909,Masonry
2.006,94.82081206,316.0012404,Masonry
2.007,97.31331269,319.113335,Masonry
2.008,97.98967728,316.7273796,Masonry
2.009,100.154975,319.8365741,Masonry
2.01,100.6803584,317.3730094,Masonry
2.011,102.6045782,320.6507852,Masonry
2.012,103.2011482,318.0401907,Masonry
2.013,105.1608336,321.2148381,Masonry
2.014,105.7085081,318.7499823,Masonry
2.015,106.2617804,316.0757829,Masonry
2.016,107.6684683,321.8387607,Masonry
2.017,108.3249197,319.3913321,Masonry
2.018,108.9489358,316.7361075,Masonry
2.019,110.0644474,322.5354148,Masonry
2.02,110.9947595,318.8254311,Masonry
2.021,112.5729136,323.0803104,Masonry
2.022,113.3141172,320.5740113,Masonry
2.023,114.0769349,317.976806,Masonry
2.025,116.0718313,321.2653009,Masonry
2.026,116.751278,318.5776224,Masonry
2.029,119.3355614,319.2016071,Masonry
2.03,120.67426,324.9165738,Masonry
2.031,121.5915021,321.2350228,Masonry
2.032,123.2117932,325.5363453,Masonry
2.033,123.8740763,323.1166138,Masonry
2.034,124.4529099,320.5068711,Masonry
2.035,125.8893663,326.2203589,Masonry
2.036,126.5931314,323.833066,Masonry
2.037,127.170475,321.2076534,Masonry
2.038,128.6737565,326.910787,Masonry
2.039,129.3473153,324.5542067,Masonry
2.04,130.0001905,321.8474033,Masonry
2.041,131.209713,327.5104105,Masonry
2.042,131.8782998,325.1497055,Masonry
2.043,132.5018243,322.4564533,Masonry
2.044,133.5947646,328.039577,Masonry
2.045,134.2281526,325.6253929,Masonry
2.046,135.9363583,328.5943222,Masonry
2.047,136.7760699,326.2439348,Masonry
2.048,138.5138595,329.3650575,Masonry
2.049,140.1084528,327.0414446,Masonry
2.051,143.4202322,327.8064115,Masonry
3.001,148.0075561,326.1840534,Adobe
3.002,147.8347096,323.5106434,Adobe
3.003,150.2132013,326.1742705,Adobe
3.004,150.2222662,323.1244802,Adobe
3.005,152.7356206,326.2529753,Adobe
3.006,152.6619974,323.1110377,Adobe
3.007,155.088162,326.2727101,Adobe
3.008,155.1571901,323.0699898,Adobe
3.009,158.2635673,326.2796095,Adobe
3.01,158.3094724,323.1381253,Adobe
3.012,161.4676351,322.6418374,Adobe
3.013,163.8604247,326.1811121,Adobe
3.014,163.9131239,323.168157,Adobe
3.015,163.9781176,320.3726671,Adobe
3.016,166.3491701,326.3034983,Adobe
3.017,166.3108809,323.8524119,Adobe
3.018,166.397085,321.0333854,Adobe
3.019,168.8054291,326.3014793,Adobe
3.02,168.791841,323.3425482,Adobe
3.021,168.7776317,320.1630414,Adobe
3.025,174.6347952,322.0480282,Adobe
3.027,177.8491861,322.1106407,Adobe
3.029,180.6103948,322.1213299,Adobe
3.03,183.3058063,326.3618448,Adobe
3.031,183.3364475,323.7995838,Adobe
3.036,191.0491051,326.2582287,Adobe
3.037,192.3187654,323.4364496,Adobe
3.039,196.3938344,326.6156025,Adobe
3.045,203.6423929,325.9958343,Adobe
3.046,203.5910994,323.1161377,Adobe
3.048,206.4916682,323.2128789,Adobe
3.05,209.1437439,323.3348993,Adobe
3.052,211.4696126,323.5097563,Adobe
3.054,213.7367403,323.6280033,Adobe
3.055,216.140226,326.1964056,Adobe
3.056,216.1831142,323.6976011,Adobe
4.001,186.5509529,341.7549851,Masonry
4.002,217.0560129,349.2065861,Adobe
5.006,251.7553784,359.5230829,Masonry
5.009,249.4321058,353.8364219,Masonry
5.011,249.8745957,350.999132,Masonry
5.015,251.1639067,345.5340311,Adobe
5.017,251.6389064,342.8929235,Adobe
5.021,252.3312713,337.7167718,Adobe
5.025,257.6364409,318.5293792,Masonry
5.026,258.0110216,315.8063439,Masonry
5.028,258.4208929,313.2789736,Masonry
5.03,253.3404092,312.3023528,Masonry
5.031,258.8031358,310.635883,Masonry
5.032,256.0530306,310.1240804,Masonry
5.035,259.4679212,305.8714127,Masonry
5.036,256.6776239,305.3046908,Masonry
5.037,259.8219236,303.7188,Masonry
5.038,256.9611086,303.1192284,Masonry
5.039,260.1389905,301.6865102,Masonry
5.04,257.371725,301.0535114,Masonry
5.043,260.8430353,296.848311,Masonry
5.044,258.1227617,296.3874877,Masonry
5.045,261.2407637,294.3494552,Masonry
5.046,258.4344714,293.7961713,Masonry
5.047,261.6093266,292.0001238,Masonry
5.049,259.2600762,289.0639569,Masonry
5.05,259.5264364,286.8108484,Masonry
5.053,260.81997,277.5661127,Masonry
5.054,257.8749827,277.1257172,Masonry
5.056,261.474588,274.7314429,Masonry
5.057,258.3049901,274.439001,Masonry
5.059,262.2139035,266.8372652,Adobe
5.063,261.7095608,260.7736437,Adobe
5.065,261.8165488,257.9809877,Adobe
5.066,264.5309668,254.6303182,Adobe
5.067,261.9453303,254.5768981,Adobe
5.068,259.5736889,254.343928,Adobe
6.002,258.4102905,183.5285609,Masonry
6.003,256.9459157,180.1880204,Masonry
6.004,255.8316564,182.4481926,Masonry
6.005,254.6746121,179.1102628,Masonry
6.006,253.5337683,181.3558426,Masonry
6.008,152.7483057,147.697965,Adobe
6.009,147.4848165,146.5186786,Adobe
6.01,143.0466689,145.597647,Adobe
6.012,131.9692675,143.2896261,Adobe
7.001,67.18394894,294.0726625,Masonry
7.002,70.2544763,294.4727681,Masonry
7.004,70.68856691,291.8625666,Masonry
7.005,68.03806276,288.3294119,Masonry
7.006,71.28442977,288.7559584,Masonry
7.008,71.73075895,285.5684788,Masonry
7.009,68.92361069,282.2097525,Masonry
7.01,72.20945382,282.4839999,Masonry
7.013,69.98306992,274.6618868,Masonry
7.019,78.1144707,236.2040621,Adobe
8.001,100.594788,249.3903723,Adobe
8.002,103.0053254,249.8906963,Adobe
8.003,105.2994599,250.4500761,Adobe
8.004,108.4945249,251.0569524,Adobe
8.005,101.2619275,246.546528,Adobe
8.006,104.0843374,246.94338,Adobe
8.007,106.8435837,247.5193133,Adobe
8.008,101.7847473,243.6080063,Adobe
8.009,104.6426284,244.1435509,Adobe
8.012,103.1809368,237.3990086,Adobe
8.013,106.0059359,237.9960256,Adobe
9.001,233.7733031,313.8768486,Masonry
